l,age,gender,income,education,empl_status,marital_stat,religion,job_worry,exp1_trt,exp1trt1_nc,exp1trt2_nc,exp1_dv1,exp1_dv2,ideol_lr,imp_rel,exp2_trt,exp2_dv,conf_un,leader_type,courts_confidence,Region,Q16,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Exp3,Q18_1,Q18_2,Q19_1,Q19_2,Q19_3,Q19_4,Q20,Exp4,,Q21_1,Q21_2,Q22,Q23,Q25_1,Q25_2,Q25_3,Q25_4,Q25_5,Q27_1,Q27_2,Q28,Q29,Q30,Q31_1,Q31_2,Q33_1,Q33_2,Q33_3,Q33_4,Q33_5,Q34,Q35,Q36
1018,45,1,6,5,1,1,5,1,2,,0,1,5,6,4,4,4,3,2,2,Madhya Pradesh,Strongly agree,Checked,Unchecked,Checked,Unchecked,Unchecked,Experiment 3 - Treatment 2,Strongly  oppose,Strongly  oppose,Independence,Self-Reliance,To be well-behaved,To have curiosity,Neither agree nor disagree,Experiment 4 - Treatment 1,,4,7,6,Relying on military force to defeat terrorism creates hatred that leads to more terrorism,Somewhat Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,1,7,India can’t be too careful,Not at all superior,The judicial system should be free from any political interference from governments and parliament,4=Approve Strongly,2=Disapprove Somewhat,2,1,1,1,1,Frequently,Under no circumstances should basic rights and freedoms be restricted,Under no circumstances should basic rights and freedoms be restricted
1019,44,1,7,4,3,1,1,2,2,,0,2,4,5,1,4,1,2,2,3,Karnataka,Strongly agree,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Experiment 3 - Treatment 3,Strongly  oppose,Somewhat oppose,Respect for Elders,Obedience,To be well-behaved,To have good manners,Agree,Experiment 4 - Treatment 1,,7,6,4,Using overwhelming military force is the best way to defeat terrorism around the world,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Agree,7,2,India can’t be too careful,Very superior,The judicial system should be free from any political interference from governments and parliament,2=Disapprove Somewhat,2=Disapprove Somewhat,1,3,2,1,1,Frequently,Under no circumstances should basic rights and freedoms be restricted,Under no circumstances should basic rights and freedoms be restricted
1020,21,1,3,4,2,6,1,4,1,1,,2,2,10,1,1,3,3,1,2,Kerala,Agree,Checked,Checked,Unchecked,Unchecked,Unchecked,Experiment 3 - Treatment 6,Strongly support,Strongly support,Independence,Obedience,To be considerate,To have good manners,Strongly agree,Experiment 4 - Treatment 1,,4,7,7,Using overwhelming military force is the best way to defeat terrorism around the world,Somewhat Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Disagree,5,7,India can trust other nations,Not so superior,The judicial system should be free from any political interference from governments and parliament,4=Approve Strongly,1= Disapprove strongly,4,4,6,4,5,Frequently,Basic rights and freedoms can be restricted when it comes to security,Basic rights and freedoms can be limited when it comes to economic development
1021,20,1,3,3,6,6,6,4,1,0,,2,7,7,1,3,2,3,2,2,Gujarat,Disagree,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Experiment 3 - Treatment 2,Somewhat oppose,Indifferent,Independence,Obedience,To be well-behaved,To have good manners,Agree,Experiment 4 - Treatment 1,,6,5,5,Relying on military force to defeat terrorism creates hatred that leads to more terrorism,Strongly Agree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Strongly Agree,6,6,India can’t be too careful,Very superior,The judicial system should be free from any political interference from governments and parliament,2=Disapprove Somewhat,3=Approve Somewhat,5,6,5,5,5,Sometimes,Under no circumstances should basic rights and freedoms be restricted,Basic rights and freedoms can be limited when it comes to economic development
1022,26,1,5,4,1,6,6,1,1,0,,1,7,10,1,1,2,1,1,2,Maharashtra,Strongly agree,Checked,Checked,Unchecked,Unchecked,Unchecked,Experiment 3 - Treatment 1,Strongly support,Strongly support,Respect for Elders,Self-Reliance,To be considerate,To have curiosity,Strongly agree,Experiment 4 - Treatment 2,,7,5,6,Using overwhelming military force is the best way to defeat terrorism around the world,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,2,6,India can’t be too careful,Vastly superior,The judicial system should be directly supervised by the duly elected government in office,3=Approve Somewhat,4=Approve Strongly,1,2,7,1,1,Frequently,Basic rights and freedoms can be restricted when it comes to security,Basic rights and freedoms can be limited when it comes to economic development
1023,30,2,1,3,5,1,1,2,2,,0,2,4,5,1,3,2,4,1,4,Karnataka,Neither agree nor disagree,Unchecked,Checked,Unchecked,Unchecked,Checked,Experiment 3 - Treatment 2,Strongly support,Support somewhat,Respect for Elders,Obedience,To be well-behaved,To have good manners,Disagree,Experiment 4 - Treatment 1,,4,4,4,Using overwhelming military force is the best way to defeat terrorism around the world,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,4,4,India can trust other nations,Not so superior,The judicial system should be free from any political interference from governments and parliament,2=Disapprove Somewhat,2=Disapprove Somewhat,4,5,4,5,5,Sometimes,Basic rights and freedoms can be restricted when it comes to security,Under no circumstances should basic rights and freedoms be restricted
1025,23,2,3,4,1,6,6,2,2,,0,2,1,4,1,1,1,3,2,2,Delhi,Agree,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Experiment 3 - Treatment 6,Strongly  oppose,Strongly  oppose,Respect for Elders,Self-Reliance,To be considerate,To have curiosity,Agree,Experiment 4 - Treatment 1,,6,7,4,Relying on military force to defeat terrorism creates hatred that leads to more terrorism,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,6,2,India can’t be too careful,Not so superior,The judicial system should be free from any political interference from governments and parliament,2=Disapprove Somewhat,4=Approve Strongly,1,3,3,1,1,Frequently,Basic rights and freedoms can be restricted when it comes to security,Basic rights and freedoms can be limited when it comes to economic development
1026,32,1,5,4,5,1,6,1,2,,0,1,7,9,3,1,3,4,1,3,Kerala,Strongly agree,Checked,Checked,Unchecked,Unchecked,Unchecked,Experiment 3 - Treatment 2,Strongly  oppose,Strongly  oppose,Respect for Elders,Obedience,To be well-behaved,To have curiosity,Agree,Experiment 4 - Treatment 1,,3,2,2,Relying on military force to defeat terrorism creates hatred that leads to more terrorism,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,6,2,India can trust other nations,Not at all superior,The judicial system should be free from any political interference from governments and parliament,3=Approve Somewhat,3=Approve Somewhat,3,1,3,1,1,Frequently,Basic rights and freedoms can be restricted when it comes to security,Basic rights and freedoms can be limited when it comes to economic development
1028,38,1,8,4,1,1,6,1,1,1,,2,3,5,2,3,2,2,2,1,Karnataka,Agree,Checked,Checked,Unchecked,Unchecked,Unchecked,Experiment 3 - Treatment 3,Somewhat oppose,Somewhat oppose,Respect for Elders,Obedience,To be well-behaved,To have good manners,Disagree,Experiment 4 - Treatment 2,,3,5,3,Relying on military force to defeat terrorism creates hatred that leads to more terrorism,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,3,4,India can trust other nations,Very superior,The judicial system should be free from any political interference from governments and parliament,2=Disapprove Somewhat,3=Approve Somewhat,3,2,2,1,1,Frequently,Under no circumstances should basic rights and freedoms be restricted,Under no circumstances should basic rights and freedoms be restricted
1029,22,2,3,4,2,6,6,4,2,,1,2,7,5,1,2,1,2,1,4,Madhya Pradesh,Neither agree nor disagree,Checked,Checked,Unchecked,Unchecked,Unchecked,Experiment 3 - Treatment 1,Strongly support,Strongly support,Respect for Elders,Obedience,To be well-behaved,To have good manners,Agree,Experiment 4 - Treatment 1,,5,4,4,Relying on military force to defeat terrorism creates hatred that leads to more terrorism,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,4,4,India can’t be too careful,Very superior,The judicial system should be directly supervised by the duly elected government in office,3=Approve Somewhat,3=Approve Somewhat,4,4,3,3,4,Frequently,Under no circumstances should basic rights and freedoms be restricted,Under no circumstances should basic rights and freedoms be restricted
1031,44,2,3,4,3,1,1,4,2,,1,1,5,8,1,4,1,1,1,1,Maharashtra,Agree,Unchecked,Checked,Checked,Unchecked,Unchecked,Experiment 3 - Treatment 1,Strongly support,Indifferent,Independence,Obedience,To be well-behaved,To have good manners,Strongly agree,Experiment 4 - Treatment 1,,6,5,2,Using overwhelming military force is the best way to defeat terrorism around the world,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,6,6,India can trust other nations,Very superior,The judicial system should be free from any political interference from governments and parliament,4=Approve Strongly,3=Approve Somewhat,3,6,6,6,5,Sometimes,Basic rights and freedoms can be restricted when it comes to security,Basic rights and freedoms can be limited when it comes to economic development
1032,19,1,2,0,1,6,6,1,2,,0,2,4,8,3,3,1,1,2,1,Telangana,Agree,Checked,Unchecked,Checked,Unchecked,Unchecked,Experiment 3 - Treatment 6,Support somewhat,Somewhat oppose,Respect for Elders,Obedience,To be well-behaved,To have good manners,Agree,Experiment 4 - Treatment 1,,7,2,2,Using overwhelming military force is the best way to defeat terrorism around the world,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,5,4,India can trust other nations,Very superior,The judicial system should be free from any political interference from governments and parliament,2=Disapprove Somewhat,3=Approve Somewhat,1,3,1,1,1,Frequently,Under no circumstances should basic rights and freedoms be restricted,Under no circumstances should basic rights and freedoms be restricted
1034,41,2,3,3,4,1,6,1,1,0,,1,6,6,1,3,2,2,2,2,Kerala,Agree,Unchecked,Checked,Checked,Unchecked,Unchecked,Experiment 3 - Treatment 5,Support somewhat,Support somewhat,Respect for Elders,Obedience,To be well-behaved,To have good manners,Agree,Experiment 4 - Treatment 2,,5,5,5,Using overwhelming military force is the best way to defeat terrorism around the world,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,6,5,India can trust other nations,Very superior,The judicial system should be free from any political interference from governments and parliament,3=Approve Somewhat,3=Approve Somewhat,5,5,6,6,5,Frequently,Under no circumstances should basic rights and freedoms be restricted,Under no circumstances should basic rights and freedoms be restricted
1035,64,2,10,8,1,1,6,1,1,1,,1,7,10,1,3,1,1,2,1,Maharashtra,Strongly agree,Checked,Checked,Unchecked,Unchecked,Unchecked,Experiment 3 - Treatment 1,Strongly support,Strongly support,Respect for Elders,Self-Reliance,To be well-behaved,To have good manners,Strongly agree,Experiment 4 - Treatment 2,,7,7,3,Relying on military force to defeat terrorism creates hatred that leads to more terrorism,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,4,7,India can trust other nations,Vastly superior,The judicial system should be directly supervised by the duly elected government in office,4=Approve Strongly,4=Approve Strongly,7,7,7,7,7,Frequently,Under no circumstances should basic rights and freedoms be restricted,Under no circumstances should basic rights and freedoms be restricted
1036,55,2,2,3,3,1,6,4,1,1,,2,7,9,1,4,2,4,1,1,Tamil Nadu,Disagree,Checked,Checked,Unchecked,Unchecked,Unchecked,Experiment 3 - Treatment 3,Support somewhat,Support somewhat,Respect for Elders,Self-Reliance,To be well-behaved,To have good manners,Agree,Experiment 4 - Treatment 1,,6,6,7,Using overwhelming military force is the best way to defeat terrorism around the world,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,7,7,India can trust other nations,Very superior,The judicial system should be directly supervised by the duly elected government in office,4=Approve Strongly,4=Approve Strongly,6,7,6,6,7,Frequently,Basic rights and freedoms can be restricted when it comes to security,Basic rights and freedoms can be limited when it comes to economic development
1038,32,1,3,4,1,1,6,4,1,1,,2,7,8,3,1,1,3,2,3,Odisha,Neither agree nor disagree,Unchecked,Checked,Checked,Unchecked,Unchecked,Experiment 3 - Treatment 6,Strongly support,Support somewhat,Respect for Elders,Self-Reliance,To be well-behaved,To have good manners,Agree,Experiment 4 - Treatment 2,,6,6,5,Using overwhelming military force is the best way to defeat terrorism around the world,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,6,7,India can trust other nations,Vastly superior,The judicial system should be free from any political interference from governments and parliament,2=Disapprove Somewhat,2=Disapprove Somewhat,5,6,5,5,6,Frequently,Basic rights and freedoms can be restricted when it comes to security,Basic rights and freedoms can be limited when it comes to economic development
1039,39,2,3,4,2,1,6,1,1,0,,2,6,6,1,3,2,3,2,3,Tamil Nadu,Agree,Checked,Checked,Unchecked,Unchecked,Unchecked,Experiment 3 - Treatment 3,Strongly support,Support somewhat,Independence,Self-Reliance,To be well-behaved,To have curiosity,Agree,Experiment 4 - Treatment 2,,5,5,5,Relying on military force to defeat terrorism creates hatred that leads to more terrorism,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,4,5,India can’t be too careful,Not so superior,The judicial system should be directly supervised by the duly elected government in office,1= Disapprove strongly,3=Approve Somewhat,6,6,6,6,5,Rarely,Under no circumstances should basic rights and freedoms be restricted,Basic rights and freedoms can be limited when it comes to economic development
1040,35,2,5,5,1,1,6,1,1,1,,2,7,10,1,2,1,4,2,1,Uttarakhand,Strongly agree,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Experiment 3 - Treatment 2,Strongly support,Strongly support,Independence,Obedience,To be considerate,To have curiosity,Strongly agree,Experiment 4 - Treatment 2,,7,7,1,Using overwhelming military force is the best way to defeat terrorism around the world,Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,7,7,India can trust other nations,Very superior,The judicial system should be free from any political interference from governments and parliament,3=Approve Somewhat,3=Approve Somewhat,7,7,7,7,7,Rarely,Basic rights and freedoms can be restricted when it comes to security,Basic rights and freedoms can be limited when it comes to economic development
1041,32,2,2,5,5,1,6,1,2,,0,2,3,7,1,4,1,2,1,1,Karnataka,Strongly agree,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Experiment 3 - Treatment 1,Strongly support,Strongly support,Respect for Elders,Obedience,To be well-behaved,To have good manners,Agree,Experiment 4 - Treatment 2,,5,5,5,Relying on military force to defeat terrorism creates hatred that leads to more terrorism,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,4,3,India can trust other nations,Very superior,The judicial system should be free from any political interference from governments and parliament,3=Approve Somewhat,2=Disapprove Somewhat,4,5,5,5,5,Sometimes,Basic rights and freedoms can be restricted when it comes to security,Under no circumstances should basic rights and freedoms be restricted
1042,31,1,6,7,1,1,6,2,2,,0,1,6,7,3,3,3,1,1,1,Delhi,Neither agree nor disagree,Unchecked,Checked,Checked,Unchecked,Unchecked,Experiment 3 - Treatment 5,Strongly  oppose,Strongly  oppose,Respect for Elders,Obedience,To be well-behaved,To have good manners,Neither agree nor disagree,Experiment 4 - Treatment 2,,5,4,6,Using overwhelming military force is the best way to defeat terrorism around the world,Somewhat Agree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,1,7,India can trust other nations,Very superior,The judicial system should be free from any political interference from governments and parliament,1= Disapprove strongly,3=Approve Somewhat,1,3,1,1,1,Frequently,Under no circumstances should basic rights and freedoms be restricted,Under no circumstances should basic rights and freedoms be restricted
1043,28,1,7,6,2,1,6,1,1,1,,2,7,8,3,3,1,1,2,1,Uttar Pradesh,Disagree,Unchecked,Checked,Checked,Unchecked,Unchecked,Experiment 3 - Treatment 6,Strongly support,Support somewhat,Respect for Elders,Obedience,To be well-behaved,To have good manners,Strongly agree,Experiment 4 - Treatment 2,,7,7,7,Using overwhelming military force is the best way to defeat terrorism around the world,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,6,5,India can trust other nations,Very superior,The judicial system should be free from any political interference from governments and parliament,3=Approve Somewhat,3=Approve Somewhat,3,2,2,2,2,Frequently,Under no circumstances should basic rights and freedoms be restricted,Basic rights and freedoms can be limited when it comes to economic development
1044,21,1,5,4,6,6,6,2,1,0,,1,1,9,3,2,1,1,1,1,Punjab,Agree,Unchecked,Checked,Checked,Unchecked,Unchecked,Experiment 3 - Treatment 6,Support somewhat,Strongly support,Independence,Obedience,To be considerate,To have curiosity,Agree,Experiment 4 - Treatment 1,,6,6,6,Using overwhelming military force is the best way to defeat terrorism around the world,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,6,6,India can trust other nations,Very superior,The judicial system should be free from any political interference from governments and parliament,1= Disapprove strongly,3=Approve Somewhat,6,6,5,6,6,Sometimes,Basic rights and freedoms can be restricted when it comes to security,Basic rights and freedoms can be limited when it comes to economic development
1047,46,2,4,4,1,1,6,1,2,,0,2,6,10,1,1,1,1,1,1,Maharashtra,Strongly agree,Unchecked,Checked,Checked,Unchecked,Unchecked,Experiment 3 - Treatment 3,Strongly support,Strongly support,Respect for Elders,Obedience,To be well-behaved,To have good manners,Strongly agree,Experiment 4 - Treatment 2,,6,6,6,Relying on military force to defeat terrorism creates hatred that leads to more terrorism,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,6,6,India can trust other nations,Vastly superior,The judicial system should be free from any political interference from governments and parliament,4=Approve Strongly,4=Approve Strongly,6,7,7,7,6,Frequently,Basic rights and freedoms can be restricted when it comes to security,Basic rights and freedoms can be limited when it comes to economic development
1048,41,1,4,5,3,1,6,1,1,0,,1,6,8,1,3,1,3,1,1,West Bengal,Strongly agree,Checked,Checked,Unchecked,Unchecked,Unchecked,Experiment 3 - Treatment 2,Strongly support,Strongly support,Respect for Elders,Obedience,To be considerate,To have good manners,Strongly agree,Experiment 4 - Treatment 2,,6,4,6,Using overwhelming military force is the best way to defeat terrorism around the world,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,6,5,India can trust other nations,Not at all superior,The judicial system should be free from any political interference from governments and parliament,1= Disapprove strongly,2=Disapprove Somewhat,5,6,6,6,5,Sometimes,Basic rights and freedoms can be restricted when it comes to security,Basic rights and freedoms can be limited when it comes to economic development
1051,38,1,3,3,3,1,6,3,1,0,,2,5,5,1,3,1,1,1,2,Maharashtra,Neither agree nor disagree,Unchecked,Checked,Checked,Unchecked,Unchecked,Experiment 3 - Treatment 5,Indifferent,Strongly  oppose,Respect for Elders,Self-Reliance,To be considerate,To have curiosity,Agree,Experiment 4 - Treatment 2,,3,5,3,Using overwhelming military force is the best way to defeat terrorism around the world,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,4,3,India can’t be too careful,Vastly superior,The judicial system should be free from any political interference from governments and parliament,4=Approve Strongly,4=Approve Strongly,5,4,6,5,3,Frequently,Basic rights and freedoms can be restricted when it comes to security,Basic rights and freedoms can be limited when it comes to economic development
1052,38,1,4,4,3,1,1,1,1,1,,2,6,6,1,1,4,2,1,4,Tamil Nadu,Strongly agree,Unchecked,Checked,Checked,Unchecked,Unchecked,Experiment 3 - Treatment 1,Strongly support,Support somewhat,Respect for Elders,Obedience,To be well-behaved,To have good manners,Neither agree nor disagree,Experiment 4 - Treatment 2,,4,4,5,Using overwhelming military force is the best way to defeat terrorism around the world,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,5,2,India can trust other nations,Not at all superior,The judicial system should be free from any political interference from governments and parliament,2=Disapprove Somewhat,3=Approve Somewhat,1,1,1,1,1,Frequently,Under no circumstances should basic rights and freedoms be restricted,Under no circumstances should basic rights and freedoms be restricted
1053,54,1,5,5,1,1,6,1,1,1,,2,7,9,1,2,1,4,2,1,Uttar Pradesh,Strongly agree,Checked,Unchecked,Checked,Unchecked,Unchecked,Experiment 3 - Treatment 4,Support somewhat,Indifferent,Respect for Elders,Obedience,To be well-behaved,To have good manners,Strongly disagree,Experiment 4 - Treatment 2,,7,7,7,Using overwhelming military force is the best way to defeat terrorism around the world,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,4,7,India can trust other nations,Very superior,The judicial system should be free from any political interference from governments and parliament,2=Disapprove Somewhat,3=Approve Somewhat,2,4,6,4,2,Sometimes,Basic rights and freedoms can be restricted when it comes to security,Basic rights and freedoms can be limited when it comes to economic development
